식당명,주소,콜키지,병수제한,잔지원,전화번호,위도,경도,마지막확인
베테카텐(vete katten),서울특별시 종로구 삼청로7길 7 1층 베테카텐,무료,,N,02-723-1477,37.5837523,126.9812932,
창고43 시청점,서울특별시 중구 서소문로 120 1층,무료,,N,02-6020-7955,37.5629076,126.9746765,
홍춘,경기도 용인시 수지구 죽전로168번길 29 1층 홍춘,무료,,N,031-264-7798,37.3242012,127.1260793,
명동서서갈비,서울특별시 중구 명동7가길 20-8,무료,,N,010-3478-5880,37.5647627,126.9832873,
이태원숯불구이,서울특별시 용산구 녹사평대로32길 41-5,무료,,N,02-797-7777,37.533084,126.9909122,
돈블랑 판교점,경기도 성남시 분당구 대왕판교로606번길 10,무료,,N,031-703-7722,37.3953571,127.1086617,
스시선명,경기도 고양시 일산동구 정발산로 24 웨스턴돔B동206호 스시선명,무료,,N,010-2276-8304,37.6552171,126.7727757,
알단테(Al Dente),경기도 파주시 가람로21번길 61-4 1층 al dente,무료,,N,031-949-5229,37.7369082,126.7518972,
자연별곡 가든파이브점,서울특별시 송파구 충민로 66 NC백화점 송파점 영관 7층,무료,,N,02-2157-5754,37.4770603,127.1259417,
북해도목장 산본점,경기도 군포시 산본로323번길 4-11 1층 북해도목장 산본점,무료,,N,,37.3598005,126.932734,
특우정,서울특별시 성동구 무학로12길 13,무료,,N,02-2293-7575,37.5672268,127.0318099,
고수 청담점,서울특별시 강남구 도산대로58길 15,무료,,N,02-548-5522,37.5222555,127.0415391,
창고43 강남점,서울특별시 강남구 강남대로 362 대륭강남타워 지하1층,무료,,N,02-508-0043,37.4953431,127.0292625,
무돌,서울특별시 성동구 마장로35나길 9-1,무료,,N,02-515-3088,37.5685286,127.0404782,
고반식당 수영센텀점,부산광역시 수영구 무학로9번길 133,무료,,N,051-756-5300,35.1673586,129.1170989,
타이빈,서울특별시 동작구 국사봉길 13 2층,무료,,N,051-558-8885,37.4985689,126.9290426,
